Week,LizardID,Date,StartTime,StartTimeNumeric,TestedWith,CodedBy,Time,TestArena,TempStart_1,TempStart_2,AvgWind,MaxWind,AirTemp,GroudTemp,CloudCover,NumStrikes,AlertPosture,Wince,BackedOff,TopHead,NoRxn,TongueFlick,Gaping,Biting,Hissing,ShelterLatency,Flee_Y/N,FleeRating,FleeLatency,EndDistance,FurthestDistance,Defecation,BodyPosStart,NewAGGRating,PrevAGGRating,Notes
6,41242,11/3/2015,10:39,0,GPS and Radio,DS,3,1,29.8,29.8,1.3,2.4,26.5,33,9,6,2,0,1,1,1,11,1,0,0,25,1,1,17,110,110,0,Head,6,5,
2,41247,10/6/2015,7:12,0,Radio,JK,1,2,21.7,29,2.1,4.1,29.4,24,6,1,0,1,1,0,0,0,0,0,0,21,1,2,9,110,110,0,Head,1,5,
6,41247,11/4/2015,7:29,0,GPS and Radio,DS,3,1,20.4,27.8,1.2,2.2,19.8,16,5.8,3,1,0,2,2,0,7,0,0,0,41,1,0.5,15,110,110,0,Head,4,5,
4,41270,10/21/2015,7:59,0,Radio,Jk,2,1,21.5,28.9,1.6,2.8,17.9,16,10,7,2,0,0,0,5,6,2,0,0,120,1,0.75,77,110,110,0,Head,8,11,
6,41270,11/4/2015,6:12,0,GPS and Radio,DS,3,1,19.2,32.4,0.5,0.8,20.3,16,10,10,2,0,1,0,6,3,2,0,0,300,0,0,300,60,60,0,Head,7,5,model lizard pushes lizard all the way back to the flee line
4,41271,10/21/2015,10:33,0,No gear,Jk,2,2,18,29.8,2.1,3.7,20.7,19,9.7,4,0,2,3,0,0,4,1,0,0,20,1,3.5,12,110,110,0,Head,6,5,
6,41271,11/4/2015,7:02,0,GPS and Radio,DS,3,2,20.1,32.5,0.7,1.1,20.2,16,9,8,1,0,2,2,3,45,0,0,0,167,1,0.5,118,110,110,0,Head,5,9,model lizard pushes lizard all the way back to the flee line
1,42827,10/1/2015,7:49,0,GPS and Radio,JK&DS,1,2,16.7,31.5,0.9,1.3,17.6,11,0,3,0,0,2,1,0,44,0,0,0,70,1,0.75,25,110,110,0,Head,4,2,
4,42827,10/20/2015,8:14,0,GPS and Radio,Jk,2,1,28.4,28.4,0.8,0.9,27.9,25,9,3,0,0,3,0,0,13,0,0,0,39,1,0.5,11,110,110,0,Head,4,5,
6,42827,11/3/2015,8:12,0,GPS and Radio,DS,3,1,19,27.6,0.5,1.1,17.1,13,10,3,2,0,3,0,0,20,0,0,0,47,1,1,16,110,110,0,Head,4,2,
1,70007,9/30/2015,7:46,0,GPS and Radio,JK&DS,1,2,13.1,27.6,0.9,1.4,13.2,9,0,4,1,1,1,0,0,1,2,0,1,35,1,4,32,110,110,0,Head,9,9,
3,70007,10/15/2015,8:30,0,GPS and Radio,Jk,2,2,25,25,0.9,1.1,27,24,8.5,3,0,0,2,0,0,2,1,0,2,20,1,3,15,110,110,0,Head,7,5,
5,70007,10/29/2015,7:13,0,GPS and Radio,Jk,3,1,19.1,31,1.1,2.2,19.6,18,2,4,0,1,1,0,1,3,0,0,0,119,1,0.25,11,110,110,0,Head,6,9,
5,80509,10/27/2015,10:30,0,Radio,Jk,2,1,22,29.5,0.7,1.5,28.6,36,0,5,5,0,2,1,0,10,2,0,0,76,1,0.5,19,110,110,0,Head,8,5,
6,80509,11/6/2015,6:43,0,GPS and Radio,DS,3,1,18.6,32.6,1.5,2.8,16.8,13,10,4,2,0,2,0,1,9,1,0,0,107,1,0.2,15,110,110,0,Head,3,5,model lizard pushes lizard all the way back to the flee line
